ID,FORMULAS_WITHOUT_COFACTORS,FORMULAS_ENCODED
rxn45173,1tdecg3p + 16:1-delta9-CoA <=> coa + 1-myristoyl-2-palmitoleoylphosphatidate,C6819 + C10397 <=> C9 + C17694
rxn45180,L-altrarate <=> 5d4dglcr,C18757 <=> C486
rxn45181,benzyl6-O-beta-D-apiofuranosyl-beta-D-glucopyranoside <=> bzalc + beta-D-apiofuranosyl-(1->6)-D-glucose,C16274 <=> C413 + C12394
rxn45184,arg-L + 2-amino-5-phosphono-3-pentenoate <=> pi + RhizocticinA,C48 + C17164 <=> C8 + C8587
rxn45197,nad + lithocholoyl-CoA <=> nadh + 3-oxocholan-24-oyl-CoA,C2 + C10475 <=> C3 + C16959
rxn45198,"(2R,3R)-2,3,4-trihydroxybutanoate <=> 4per",C16406 <=> C1825
rxn45200,XXLGxyloglucanoligosaccharide <=> gal + XXXGxyloglucanoligosaccharide,C11291 <=> C105 + C11290
rxn45201,accoa + GentamicinC <=> coa,C21 + C5593 <=> C9
rxn45202,crn + occoa <=> coa,C252 + C1182 <=> C9
rxn45212,"diphenylether2,3-diol <=> (2Z,4E)-2-hydroxy-6-oxo-6-phenoxyhexa-2,4-dienoate",C16957 <=> C16513
rxn45213,"Glycyrrhizin <=> 1,2-beta-D-Glucuronosyl-D-glucuronate + 3-beta-hydroxyglycyrrhetinate",C1336 <=> C2240 + C17755
rxn45214,udpg + ginsenosideRh2 <=> ginsenosideF2,C25 + C10855 <=> C10852
rxn45217,crn + dccoa <=> coa + O-Decanoyl-L-carnitine,C252 + C2629 <=> C9 + C1794
rxn45218,"accoa + dTDP-3-amino-3,6-dideoxy-D-glucose <=> coa + dTDP-3-acetamido-3,6-dideoxy-alpha-D-glucopyranose",C21 + C4480 <=> C9 + C16735
rxn45220,udpg + ginsenosideRh2 <=> 20(S)-ginsenosideRg3,C25 + C10855 <=> C10854
rxn45222,D-Tagatose <=> srb-L,C552 <=> C203
rxn45224,ascb + actp <=> ac,C56 + C187 <=> C28
rxn45225,"(1R)-1,4,5,10-tetrahydrophenazine-1-carboxylate <=> (10aS)-10,10a-dihydrophenazine-1-carboxylate",C18390 <=> C18605
rxn45229,amet + Resorcin <=> ahcys + 3-methoxyphenol,C16 + C1081 <=> C18 + C18613
rxn45231,malcoa + Anthranilyl-CoA <=> coa + co2 + (2-aminobenzoyl)acetyl-CoA,C67 + C1322 <=> C9 + C10 + C17856
rxn45238,cys-L <=> h2s + L-Cystathionine,C81 <=> C228 + C8708
rxn45239,Glucotropeolin <=> glc-D + benzylglucosinolateaglycone,C1276 <=> C26 + C11184
rxn45249,"3,6,8-trimethyl-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline <=> co2 + 3,6,8-Trimethylallantoin",C16912 <=> C10 + C6618
rxn45251,"Chlorophyllide <=> co2 + meoh + 3V[E,M]-bacteriochlorophyllided",C1270 <=> C10 + C113 + C16877
rxn45254,"coucoa + pelargonidin3-O-[2""-O-(xylosyl)]glucoside <=> coa + pelargonidin3-O-[2""-O-xylosyl)6""-O-(p-coumaroyl)glucoside",C184 + C18228 <=> C9 + C17660
rxn45259,"malcoa + Linoleoyl-CoA <=> coa + co2 + (11Z,14Z)-3-oxoicosa-11,14-dienoyl-CoA",C67 + C1231 <=> C9 + C10 + C16598
rxn45264,UDP-L-rhamnose + kaempferol3-O-beta-gentiobioside <=> kaempferol-3-O-[glucopyranosyl(1-6)glucopyranoside]-7-O-rhamnopyranoside,C1294 + C17061 <=> C12806
rxn45266,3-methylsulfinyl-L-alanine <=> Dehydroalanine + methanesulfenate,C12444 <=> C1306 + C16357
rxn45274,coa + 2-Furoate <=> pi + 2-Furoyl-CoA,C9 + C990 <=> C8 + C587
rxn45276,nad + thr-L <=> nadh + co2 + aact,C2 + C156 <=> C3 + C10 + C1155
rxn45284,udpglcur + SoyasapogenolE <=> soyasapogenolE3-O-beta-glucuronate,C139 + C8499 <=> C18751
rxn45285,"amet + 2'-hydroxy3,6,7,4'-tetramethylquercetagetin <=> ahcys + 3,6,7,2',4'-pentamethylquercetagetin",C16 + C18247 <=> C18 + C17840
rxn45289,"coucoa + isorhamnetin3-O-glucoside <=> coa + isorhamnetin3-O-(3""-O-p-coumaroyl)-glucoside",C184 + C16330 <=> C9 + C17965
rxn45291,udpg + myricetin3-O-beta-D-glucoside <=> myricetin3-O-gentiobioside,C25 + C17941 <=> C17850
rxn45296,XXFGxyloglucanoligosaccharide <=> fuc-L + XXLGxyloglucanoligosaccharide,C11298 <=> C697 + C11291
rxn45298,nad + 3-(4'-Methylthio)butylmalicacid <=> nadh + co2 + 2-Oxo-7-methylthioheptanoicacid,C2 + C8418 <=> C3 + C10 + C8419
rxn45299,"nad + sulfoquinovose <=> nadh + 6-deoxy-6-sulfo-D-glucono-1,5-lactone",C2 + C10389 <=> C3 + C17124
rxn45305,accoa + (5Z)-tetradec-5-enoyl-CoA <=> coa + 3-oxo-(7Z)-hexadecenoyl-CoA,C21 + C18537 <=> C9 + C16773
rxn45306,amet + (S)-Norlaudanosoline <=> ahcys + 6-O-Methylnorlaudanosoline,C16 + C1595 <=> C18 + C2599
rxn45312,amet + 11-hydroxyvittatine <=> ahcys + hemanthamine,C16 + C17004 <=> C18 + C17547
rxn45313,"accoa + 3,4-AHBA <=> coa + 3-acetylamino-4-hydroxybenzoate",C21 + C4585 <=> C9 + C16395
rxn45319,accoa + (11Z)-tetradec-11-enol <=> coa + (11Z)-tetradec-11-en-1-ylacetate,C21 + C18097 <=> C9 + C16216
rxn45320,gypenosideXVII <=> glc-D + ginsenosideF2,C10851 <=> C26 + C10852
rxn45327,udpg + Luteolin <=> Orientin,C25 + C977 <=> C4056
rxn45328,Dichloroacetate + L-glutathione <=> cl + S-(2-chlorocarboxymethyl)-glutathione,C4216 + C15791 <=> C96 + C17675
rxn45338,"2-hydroxy-5-methyl-6-oxohexa-2,4-dienoate <=> ac + (2Z)-2-hydroxypenta-2,4-dienoate",C12333 <=> C28 + C16698
rxn45340,"amet + OxyayaninB <=> ahcys + 3,6,7,4'-tetramethylquercetagetin",C16 + C4057 <=> C18 + C18692
rxn45342,"coucoa + kaempferol3-O-(6""-O-feruloyl)-glucoside <=> coa + kaempferol3-O-(3""-O-p-coumaroyl,6""-O-feruloyl)-glucoside",C184 + C18800 <=> C9 + C16251
rxn45343,"coucoa + Tribuloside <=> coa + kaempferol3-O-(4"",6""-O-di-p-coumaroyl)-glucoside",C184 + C8398 <=> C9 + C18494
rxn45357,accoa + sprm <=> coa,C21 + C523 <=> C9
rxn45358,"udpglcur + 3,9-dihydroxy-urolithin <=> isourolithinA3-O-glucuronide",C139 + C18881 <=> C17888
rxn45362,"nadh + 3,3'-dihydroxy-4,4'-diketo-beta,beta-carotene <=> nad + 2-hydroxyastaxanthin",C3 + C11970 <=> C2 + C17118
rxn45377,val-L + 3-{[(2E)-4-amino-4-oxobut-2-enoyl]amino}-L-alanine <=> pi + N-[(2S)-3-{[(2E)-4-amino-4-oxobut-2-enoyl]amino}-2-methylpropanoyl]-L-valine,C151 + C16306 <=> C8 + C17075
rxn45379,nadh + 2-Nitrotoluene <=> nad + no2 + 3mcat,C3 + C9070 <=> C2 + C72 + C1601
rxn45380,udpg + kaempferide3-O-beta-D-glucopyranosyl-(1->2)-O-alpha-L-rhamnoside <=> kaempferide3-O-beta-D-glucopyranosyl-(1->2)-O-[alpha-L-rhamnopyranosyl-(1->6)]-beta-D-glucopyranoside,C25 + C17204 <=> C17441
rxn45386,Erythrulose1-phosphate <=> D-Erythrulose4-phosphate,C1826 <=> C1921
rxn45392,"coucoa + quercetin3-O-(6""-O-feruloyl)-glucoside <=> coa + quercetin3-O-(3""-O-p-coumaroyl,6""-O-feruloyl)-glucoside",C184 + C17757 <=> C9 + C18506
rxn45397,"nadph + porifersta-7,25(27)-dienol <=> nadp + 22-dihydrochondrillasterol",C4 + C17890 <=> C5 + C16633
rxn45409,udpg + Wogonin <=> wogonin7-O-beta-D-glucoside,C25 + C4077 <=> C17203
rxn45414,galt1p <=> pi + galt,C3193 <=> C8 + C1047
rxn45416,D-idonate <=> 2dh3dgal,C17460 <=> C834
rxn45421,nadph + stipitalide <=> nadp + stipitaldehydate,C4 + C18803 <=> C5 + C16263
rxn45422,"malcoa + densipoloyl-CoA <=> coa + co2 + 3-oxo-(11Z,17Z)-14R-hydroxy-icosa-11,17-dienoyl-CoA",C67 + C17921 <=> C9 + C10 + C16257
rxn45426,UDP-L-arabinose + isovitexin-7-O-xyloside <=> isovitexin7-O-xylosyl2''-O-arabinoside,C647 + C10416 <=> C18530
rxn45428,accoa + D-(1-Aminoethyl)phosphonate <=> coa + [(1R)-1-acetamidoethyl]phosphonate,C21 + C2002 <=> C9 + C18296
rxn45429,nad + L-Iditol <=> nadh + keto-L-sorbose,C2 + C972 <=> C3 + C18446
rxn45432,"akg + caffcoa <=> co2 + succ + 2,4,6-trihydroxycinnamoyl-CoA",C23 + C256 <=> C10 + C35 + C16528
rxn45437,nadp + 24(25)-dihydrocycloartenol <=> nadph + Cycloartenol,C5 + C11718 <=> C4 + C1163
rxn45443,"malcoa + Arachidonyl-CoA <=> coa + co2 + (7Z,10Z,13Z,16Z)-3-oxodocosa-7,10,13,16-tetraenoyl-CoA",C67 + C1323 <=> C9 + C10 + C18688
rxn45448,akg + cl + ambiguineH <=> co2 + succ + ambiguineA,C23 + C96 + C16638 <=> C10 + C35 + C17950
rxn45449,pyr + tyr-L <=> ala-L,C19 + C66 <=> C34
rxn45475,"amet + 3',4',5-Trihydroxy-3,6,7-trimethoxyflavone <=> ahcys + 3,6,7,4'-tetramethylquercetagetin",C16 + C2324 <=> C18 + C18692
rxn45477,nad + beta-erythro-methylmalate <=> nadh + Methyloxaloacetate,C2 + C11874 <=> C3 + C3047
rxn45481,4-deoxy-beta-D-delta4-GlcAp-(1->3)-D-GlcNAc6S <=> 5dh4dglcn + N-Acetyl-D-glucosamine6-sulfate,C16990 <=> C2110 + C2146
rxn45484,nad + 3-(3'-Methylthio)propylmalate <=> nadh + co2 + 2-Oxo-6-methylthiohexanoicacid,C2 + C8414 <=> C3 + C10 + C8415
rxn45485,amet + 22-Hopanol + Methylcobalamin <=> met-L + dad-5 + cob(III)alamin + 2-methyldiplopterol,C16 + C3191 + C6175 <=> C57 + C2595 + C16561 + C17954
rxn45487,nadph + 20-deoxo-20-dihydrorosamicin <=> nadp + 20-dihydrorosamicin,C4 + C17175 <=> C5 + C18447
rxnTransport5131,L-Ala-gamma-D-Glu-Dap[e] <=> pi + L-Ala-gamma-D-Glu-Dap,C22151 <=> C8 + C13486
rxn45505,"4-methylgentisate <=> (2E)-3-methyl-4,6-dioxohept-2-enedioate",C17349 <=> C16487
rxn45512,"7,8-dihydropterin <=> Pterin",C12746 <=> C506
rxn45515,amet + 5-hydroxy-desmethylanthrotainin <=> ahcys + 5-hydroxyanthrotainin,C16 + C18835 <=> C18 + C17030
rxn45517,sisomicin <=> sisomicin2''-phosphate,C17083 <=> C18203
rxn45519,Coalpha-[alpha-(2-methyladenin-9-yl)]-Cobeta-adenosylcobamide5'-phosphate <=> pi + Coalpha-[alpha-(2-methyladenin-7-yl)]-Cobeta-adenosylcobamide,C17656 <=> C8 + C16652
rxn45532,nadp + dhlam <=> nadph + lpam,C5 + C426 <=> C4 + C204
rxn45536,DIMBOAglucoside <=> glc-D + DIMBOA,C2467 <=> C26 + C2415
rxn45537,nadph + AurachinD <=> nadp + 9'-hydroxy-aurachinD,C4 + C4144 <=> C5 + C18059
rxn45549,Dextran <=> glc-D,C5401 <=> C26
rxn45554,Nalpha-[(2E)-3-methylhex-2-enoyl]-L-glutamine <=> gln-L + (2E)-3-methylhex-2-enoate,C16757 <=> C50 + C17936
rxn45556,psph1p <=> ethamp + 2-hydroxyhexadecanal,C6778 <=> C269 + C18029
rxn45558,"accoa + 7-carboxy-4-methyl-5-oxoheptanoyl-CoA <=> coa + 9-carboxy-6-methyl-3,7-dioxononanoyl-CoA",C21 + C16727 <=> C9 + C18187
rxn45564,fmnh2 + Dimethylsulfone <=> fmn + fald + methanesulfinate,C1131 + C4212 <=> C47 + C52 + C17169
rxn45565,nad + L-Gulose <=> nadh + L-Gulonolactone,C2 + C6364 <=> C3 + C710
rxn45566,amet + Vitexin2''-rhamnoside <=> ahcys,C16 + C4767 <=> C18
rxn45567,"akg + fusicocca-2,10(14)-diene-8beta,16-diol <=> co2 + succ + 8beta-hydroxyfusicocca-1,10(14)-diene-16-al",C23 + C17495 <=> C10 + C35 + C17649
rxn45568,malcoa + Meglutol <=> hmgcoa + maln,C67 + C1995 <=> C276 + C291
rxn45574,S-(4-hydroxy-3-methylbutan-2-yl)-L-cysteinylglycine <=> gly + S-(4-hydroxy-3-methylbutan-2-yl)-L-cysteine,C16993 <=> C32 + C17494
rxn45576,"nadph + 2-trans,4-cis-undecadienoyl-CoA <=> nadp + (3E)-undec-3-enoyl-CoA",C4 + C17531 <=> C5 + C18684
rxn45581,"accoa + 5-carboxy-2-methyl-3-oxopentanoyl-CoA <=> coa + 7-carboxy-4-methyl-3,5-dioxoheptanoyl-CoA",C21 + C17763 <=> C9 + C18659
rxn45587,udpgal + quc <=> Hyperin,C41 + C296 <=> C4046
rxn45588,nad + 3-deacetyl-3-(1-hydroxyethyl)-bacteriochlorophyllideg <=> nadh + Bacteriochlorophyllideb,C2 + C17690 <=> C3 + C8802
rxn45590,Panose <=> glc-D + isomal,C505 <=> C26 + C208
rxn45594,"(R)-N-formyl-beta-hydroxy-L-kynurenine <=> for + (2S,3R)-4-(2-aminophenyl)-2-amino-3-hydroxy-4-oxobutanoate",C17795 <=> C45 + C17335
rxn45595,L-leucyl-blasticidinS <=> leu-L + BlasticidinS,C17860 <=> C104 + C1214
rxn45603,"nadph + 2-[2-(3,4-dihydroxyphenyl)ethenyl]-6-hydroxy-pyran-4-one <=> nadp + (E)-6-(3,4-dihydroxystyryl)-3,4-dihydroxy-2H-pyran-2-one",C4 + C11858 <=> C5 + C17681
rxn45613,nadph + Glucoerucin <=> nadp + Glucoraphanin,C4 + C3796 <=> C5 + C3800
rxn45621,"Cyclicdi-3',5'-adenylate <=> 5'-O-phosphonoadenylyl-(3'->5')-adenosine",C16034 <=> C17738
rxn45624,udpg + 13-O-beta-sophorosyl-steviol <=> 13-[(2-O-.beta.-D-Glucopyranosyl-.alpha.-D-glucopyranosyl)oxy]kaur-16-en-18-oicacid.beta.-D-glucopyranosylester,C25 + C16438 <=> C17604
rxn45629,udpg + (14alpha)-13-hydroxykaur-16-en-18-oic-acid <=> 19-O-beta-glucopyranosyl-steviol,C25 + C16460 <=> C16762
rxn45634,"3-geranyl-3-[(Z)-2-isocyanoethenyl]-1H-indole <=> (6aS,9S,10R,10aS)-9-ethenyl-10-isocyano-6,6,9-trimethyl-5,6,6a,7,8,9,10,10a-octahydroindeno[2,1-b]indole",C18760 <=> C18065
rxn45642,"(2E,9Z)-hexadecenoyl-CoA <=> (S)-3-hydroxy-(9Z)-hexadecenoyl-CoA",C16597 <=> C17861
rxn45648,8-oxo-GDP <=> pi + 8-oxo-GMP,C11526 <=> C8 + C10964
rxn45649,"(3S,6Z,9Z,12Z,15Z,18Z)-3-hydroxytetracosa-6,9,12,15,18-pentaenoyl-CoA <=> (2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexa-2,6,9,12,15,18-enoyl-CoA",C16336 <=> C6633
rxn45651,"C18:1(C9)-COA + 2-mono-C18:1 <=> coa + 1,2-diolein",C7979 + C12749 <=> C9 + C18136
rxn45656,(S)-4-Hydroxymandelonitrile <=> (R)-4-hydroxymandelonitrile,C1988 <=> C17081
rxn45662,ahygroscopin-B <=> 7-deazaadenosine-7-carboxamide,C11209 <=> C11206
rxn45666,accoa + ardeemin <=> coa + 5-N-acetylardeemin,C21 + C18582 <=> C9 + C17777
rxn45668,"nad + 3-[(3aS,4S,5R,7aS)-5-hydroxy-7a-methyl-1-oxo-octahydro-1H-indene-4-carboxyl-CoA <=> nadh + (5R,7aS)-5-hydroxy-7a-methyl-1-oxo-3,5,6,7-tetrahydro-2H-indene-4-carboxyl-CoA",C2 + C17464 <=> C3 + C17676
rxn45669,udpg + Podophyllotoxin <=> podophyllotoxin7-glucopyranoside,C25 + C4181 <=> C17286
rxn45670,"nadph + 7,10-diketo-pre-bikaverin <=> nadp + 6-hydroxy-7,10-diketo-pre-bikaverin",C4 + C16283 <=> C5 + C16588
rxn45672,tsul + pser-L <=> pi + scys-L,C254 + C687 <=> C8 + C1392
rxn45674,accoa + 13dampp <=> coa + N-(3-aminopropyl)acetamide,C21 + C676 <=> C9 + C17543
rxn45675,"GDP-2-acetamido-2-deoxy-beta-mannuronate + 2,3-diacetamido-2,3-dideoxy-beta-D-uronateglucosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-(C55omega-saturateddolichylphosphate) <=> 2-acetamido-2-deoxy-beta-uronatemannosyl-(beta1->4)-2,3-diacetamido-2,3-dideoxy-beta-D-uronateglucosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-(C55omega-saturateddolichylphosphate)",C17849 + C18849 <=> C16745
rxn45678,"5-cis,7-trans-tetradecadienoyl-CoA <=> 2-trans,5-cis,7-trans-tetradecatrienoyl-CoA",C18761 <=> C17222
rxn45679,"coucoa + isorhamnetin3-O-glucoside <=> coa + isorhamnetin3-O-(4""-O-p-coumaroyl)-glucoside",C184 + C16330 <=> C9 + C18868
rxn45682,"GDP-D-glycero-alpha-D-manno-heptose <=> GDP-4-oxo,6-deoxy-D-lyxo-heptose",C9290 <=> C16986
rxn45685,2'-Deoxymugineicacid <=> AvenicacidA,C5075 <=> C17250
rxn45687,nadph + Matairesinol <=> nadp + (-)-thujaplicatin,C4 + C4147 <=> C5 + C16436
rxn45696,"(2Z,4Z)-2-hydroxy-6-oxonona-2,4-dienoicacid <=> but + (2Z)-2-hydroxypenta-2,4-dienoate",C11547 <=> C202 + C16698
rxn45697,"(4S,5E,7Z,10Z,13Z,15E,17S,19Z)-4-hydroperoxy-17-hydroxydocosa-5,7,10,13,15,19-hexaenoate <=> 4(5)-epoxy-17S-hydroxy-docosahexaenoate",C17450 <=> C18638
rxn45698,udpg + Tylosin <=> 2'-[O-(beta-D-glucopyranosyl)]-tylosin,C25 + C949 <=> C17871
rxn45699,udpg + monodeglucosyldes-acylavenacinA <=> des-acylavenacinA,C25 + C16848 <=> C16475
rxn45708,agdpcbi + 4-methylphenyl5-phospho-alpha-D-ribofuranoside <=> 4-methylphenyladenosylcobamide5'-phosphate,C3321 + C17007 <=> C17906
rxn45713,L-Ala-g-D-Glu-L-Lys-D-Ala-D-Ala) <=> ala-D + L-Ala-gamma-D-glu-L-Lys-D-Ala,C16276 <=> C114 + C17237
rxn45720,"udpg + 2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-galactosyl-diphospho-ditrans,octacis-undecaprenol <=> Glc-AATGal-PP-undecaprenol",C25 + C17624 <=> C16855
rxn45723,nad + GSNHOH <=> nadh + GSNO,C2 + C16210 <=> C3 + C14164
rxn45725,3-hydroxy-4-methyl-D-kynurenine <=> ala-L + 3-Hydroxy-4-methylanthranilate,C18860 <=> C34 + C2077
rxn45727,nadp + (R)-Pantolactone <=> nadph,C5 + C692 <=> C4
rxn45733,"12,13-epoxy-trichothec-9-en-4beta-ol + 2,4,6octatrienedioyl-CoA <=> coa + harzianumA",C17140 + C18434 <=> C9 + C17144
rxn45735,Cyanin <=> glc-D + Cyanidin3-O-glucoside,C3862 <=> C26 + C3845
rxn45738,akg + GibberellinA5 <=> co2 + succ + Gibberellin,C23 + C4437 <=> C10 + C35 + C1048
rxn45745,"udpg + Quercimeritrin <=> quercetin3,7-O-diglucoside",C25 + C4778 <=> C12017
rxn45747,amet + 7'-O-demethylcephaeline <=> ahcys + Cephaeline,C16 + C16935 <=> C18 + C3940
rxn45750,nadp + Ursodiol <=> nadph + 3alpha-hydroxy-7-oxo-5beta-cholan-24-oate,C5 + C3715 <=> C4 + C18630
rxn45754,amet + benzenecarbothiocacid <=> ahcys + (S)-methylthiobenzoate,C16 + C16620 <=> C18 + C18561
rxn45768,"coucoa + quercetin3-O-(6""-O-p-coumaroyl)-glucoside <=> coa + quercetin3-O-(3',6""-O-di-p-coumaroyl)-glucoside",C184 + C16204 <=> C9 + C17382
rxn45769,udpg + Phloretin <=> 3'-C-glucosylphloretin,C25 + C539 <=> C17827
rxn45772,O-Acetyl-ADP-ribose <=> ac + adprib,C16088 <=> C28 + C239
rxn45776,nadph + 20-hydroxy-prefusarin <=> nadp + 20-hydroxy-13-14epoxy-prefusarin,C4 + C16671 <=> C5 + C18164
rxn45777,akg + met-L <=> co2 + succ + metox,C23 + C57 <=> C10 + C35 + C1637
rxn45781,djenk <=> nh4 + pyr + S-(mercaptomethyl)-L-cysteine,C3743 <=> C12 + C19 + C16403
rxn45792,udpg + (+)-sesaminol <=> (+)-sesaminol2-O-beta-D-glucoside,C25 + C16963 <=> C16665
rxn45796,nadp + Formylphosphonate <=> nadph + Foscarnet,C5 + C8586 <=> C4 + C3297
rxn45798,"nadp + (2R,3S)-2-dodecyl-3-hydroxyhexadecanoate <=> nadph + (2R)-2-dodecyl-3-oxohexadecanoate",C5 + C18234 <=> C4 + C18239
rxn45799,L-valyl-L-arginyl-4-hydroxy-5-phosphonopentanoate <=> L-Val-L-Arg-APPA,C18836 <=> C16799
rxn45801,"Butachlor <=> n-Butanol + 2-chloro-N-(2,6-diethylphenyl)-N-hydroxymethylacetamide",C4184 <=> C3114 + C17812
rxn45815,"UDP-xylose + Pelargonidin3-glucoside <=> pelargonidin3-O-[2""-O-(xylosyl)]glucoside",C158 + C4596 <=> C18228
rxn45817,nad + uacgam <=> nadh + UDP-2-deoxy-2-acetamido-3-dehydro-alpha-D-glucopyranose,C2 + C36 <=> C3 + C16741
rxn45819,"amet + 3,3',4',5,7-Pentahydroxy-8-methoxyflavone <=> ahcys + 4',5,7-trihydroxy-3',8-dimethoxyflavonol",C16 + C2315 <=> C18 + C18153
rxn45821,accoa + Optal <=> coa + propylacetate,C21 + C3021 <=> C9 + C17208
rxn45825,archaetidylglycerolphosphate <=> pi + archaetidylglycerol,C17780 <=> C8 + C10776
rxn45826,O-glucosyl-ergosterol <=> glc-D + ergst,C10689 <=> C26 + C1046
rxn45827,Cichoriin <=> glc-D + Esculetin,C3916 <=> C26 + C3924
rxn45831,indol-3-ylmethylisothiocyanate-glutathione <=> glu-L + S-(indol-3-ylmethylisothiocyanyl)-L-cysteinylglycine,C12892 <=> C22 + C18824
rxn45833,"pep + 2,4-diacetamido-2,4,6-trideoxy-beta-L-gulopyranose <=> pi + 5,7-diacetamido-3,5,7,9-tetradeoxy-L-glycero-D-galacto-non-2-ulosonate",C58 + C16304 <=> C8 + C18243
rxn45836,Fenclorim + L-glutathione <=> cl + 4-(glutathion-S-yl)-fenclorim,C8995 + C15791 <=> C96 + C17894
rxn45837,Vitexin + UDP-L-rhamnose <=> Vitexin2''-rhamnoside,C950 + C1294 <=> C4767
rxn45838,com + 5-Methyl-H4MPT <=> h4mpt,C1900 + C2299 <=> C835
rxn45842,ent-kauran-17-oate <=> ent-kaur-19-al-17-oate,C11337 <=> C11339
rxn45853,nadph + Ethionamide <=> nadp + 1-(2-ethylpyridin-4-yl)-1-(oxo-?4-sulfanylidene)methanamine,C4 + C3689 <=> C5 + C16922
rxn45854,fmnh2 + mops <=> fmn + so3 + 3-(N-morpholino)propanal,C1131 + C5347 <=> C47 + C78 + C18343
rxn45857,amet + TetracenomycinD3 <=> ahcys + TetracenomycinB3,C16 + C4656 <=> C18 + C4657
rxn45864,amet + Matairesinol <=> ahcys + (-)-isoarctigenin,C16 + C4147 <=> C18 + C17223
rxn45872,"(3R)-hydroxyadrenoyl-CoA <=> (2E,7Z,10Z,13Z,16Z)-docosa-2,7,10,13,16-pentaenoyl-CoA",C18026 <=> C16580
rxn45874,amet + thiophenol <=> ahcys + (methylsulfanyl)benzene,C16 + C12052 <=> C18 + C17252
rxn45875,"Caffeylaldehyde <=> (2E,4Z,6E)-5-formyl-2-hydroxy-8-oxoocta-2,4,6-trienoate",C4185 <=> C16578
rxn45882,udpglcur + 3-hydroxy-urolithin <=> urolithinB3-O-glucuronide,C139 + C16977 <=> C16714
rxn45886,nad + Tetrachlorohydroquinone <=> nadh + Chloranil,C2 + C1845 <=> C3 + C9008
rxn45887,lac-D + Ubiquinones <=> pyr + Ubiquinols,C212 + C14300 <=> C19 + C14299
rxn45891,"2-(glutathion-S-yl)-2-methylbut-3-en-1-ol <=> L-glutathione + (3R)-3,4-epoxy-3-methylbut-1-ene",C16390 <=> C15791 + C17937
rxn45895,nadp + pseudopaline <=> nadph + akg + (2S)-2-amino-4-{[(1S)-1-carboxy-2-(1H-imidazol-4-yl)ethyl]amino}butanoate,C5 + C17834 <=> C4 + C23 + C17388
rxn45901,accoa + andilesinA <=> coa + acetyl-andilesinA,C21 + C16803 <=> C9 + C18147
rxn45902,nicrnt + 2-methyladenine <=> nac + 2-methyladenineribotidephosphate,C814 + C17302 <=> C209 + C16979
rxn45904,"nadph + (2E,11Z)-icosa-2,11-dienoyl-CoA <=> nadp + Icosenoyl-CoA",C4 + C16508 <=> C5 + C7737
rxn45908,nad + Isopyridoxal <=> nadh + 5-Pyridoxolactone,C2 + C3057 <=> C3 + C3058
rxn45923,nadp + yersinopine <=> nadph + pyr + (2S)-2-amino-4-{[(1S)-1-carboxy-2-(1H-imidazol-4-yl)ethyl]amino}butanoate,C5 + C17469 <=> C4 + C19 + C17388
rxn45925,nadp + gal <=> nadph + 3-Keto-beta-D-galactose,C5 + C105 <=> C4 + C2680
rxn45929,btcoa + crn <=> coa + O-butanoyl-L-carnitine,C117 + C252 <=> C9 + C17561
rxn45935,"1-(4-hydroxy-3-methoxyphenyl)-2-(2-methoxyphenoxy)propane-1,3-diol <=> gcald + vanln + Guaiacol",C18492 <=> C220 + C526 + C970
rxn45937,nadph + Luteolin <=> nadp + Hypolaetin,C4 + C977 <=> C5 + C4047
rxn45944,nadph + Rattex <=> nadp,C4 + C2947 <=> C5
rxn45951,"pmtcoa + 2-O-sulfo-alpha,alpha-trehalose <=> coa + 2'-palmitoyl-2-O-sulfo-alpha,alpha-trehalose",C130 + C18428 <=> C9 + C17984
rxn45957,"amet + (+)-Reticuline <=> ahcys + (1S)-1-(3-hydroxy-4-methoxybenzyl)-6-methoxy-2,2-dimethyl-1,2,3,4-tetrahydroisoquinolin-7-ol",C16 + C1253 <=> C18 + C17003
rxn45966,"(S)-3-hydroxy-(7Z)-tetradecenoyl-CoA <=> (2E,7Z)-tetradecenoyl-CoA",C18870 <=> C17733
rxn45971,thiocoralinedithiol <=> thiocoraline,C16520 <=> C16690
rxn45982,ALGINATE <=> 4-deoxy-alpha-L-erythro-hex-4-enopyranuronate-beta-D-mannuronate,C10110 <=> C17855
rxn45986,2-hydroxy-3-[(1E)-3-oxoprop-1-en-1-yl]-2H-pyran-6-carboxylate <=> iso-arabidopaldehyde,C18500 <=> C17042
rxn46002,r5p <=> pi + cll_346,C98 <=> C8 + C3773
rxn46006,agdpcbi + 5-hydroxybenzimidazoleribotidephosphate <=> Coalpha-[alpha-(5-hydroxybenzimidazolyl)]-Cobeta-adenosylcobamide5'-phosphate,C3321 + C16802 <=> C16231
rxn46018,"ggdp <=> (13E)-labda-7,13-dien-15-yldiphosphate",C273 <=> C17908
rxn46020,2-O-(alpha-D-glucopyranosyl)-sn-glycerol3-phosphate <=> pi + 2-(alpha-D-glucopyranosyl)glycerol,C16818 <=> C8 + C17472
rxn46022,accoa + Salutaridinol <=> coa,C21 + C2604 <=> C9
rxn46027,nadp + D-arabinofuranose <=> nadph + Dara14lac,C5 + C19880 <=> C4 + C469
